NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Paul Arizin*, PHW, SF,22,65, , ,5.4,13.3, .407, ,,, 5.4, 13.3,.407,.407, 6.4,8.1,.793, ,,9.8,2.1, , ,,4.4, 17.2
Curly Armstrong, FTW, G-F,32,38, , ,1.9,6.1, .310, ,,, 1.9, 6.1,.310,.310, 1.5,2.4,.644, ,,2.3,2.0, , ,,2.6, 5.3
Cliff Barker, INO, SG,30,56, , ,0.9,3.6, .252, ,,, 0.9, 3.6,.252,.252, 0.9,1.4,.649, ,,1.8,2.1, , ,,1.8, 2.7
Leo Barnhorst, INO, SF,26,68, , ,3.4,9.9, .346, ,,, 3.4, 9.9,.346,.346, 1.2,1.8,.689, ,,4.4,3.2, , ,,2.9, 8.0
Ed Bartels, WSC, F,25,17, , ,1.4,5.7, .247, ,,, 1.4, 5.7,.247,.247, 1.4,2.7,.522, ,,4.9,0.7, , ,,3.2, 4.2
Ed Beach, TOT, F,22,12, , ,0.7,3.2, .211, ,,, 0.7, 3.2,.211,.211, 0.5,0.8,.667, ,,2.1,0.3, , ,,1.2, 1.8
Ed Beach, MNL, F,22,11, , ,0.7,3.2, .229, ,,, 0.7, 3.2,.229,.229, 0.5,0.8,.667, ,,2.3,0.2, , ,,1.3, 2.0
Ed Beach, TRI, F,22,1, , ,0.0,3.0, .000, ,,, 0.0, 3.0,.000,.000, 0.0,0.0,, ,,0.0,1.0, , ,,0.0, 0.0
Ralph Beard, INO, G,23,66, , ,6.2,16.8, .368, ,,, 6.2, 16.8,.368,.368, 4.4,5.7,.775, ,,3.8,4.8, , ,,1.5, 16.8
Leon Blevins, INO, G,24,2, , ,0.5,2.0, .250, ,,, 0.5, 2.0,.250,.250, 0.0,0.5,.000, ,,1.0,0.5, , ,,1.5, 1.0
Nelson Bobb, PHW, PG,26,53, , ,1.0,3.0, .329, ,,, 1.0, 3.0,.329,.329, 0.8,1.5,.557, ,,1.9,1.5, , ,,1.6, 2.8
Ike Borsavage, PHW, C-F,26,24, , ,1.1,3.1, .351, ,,, 1.1, 3.1,.351,.351, 0.5,0.8,.667, ,,1.0,0.2, , ,,1.4, 2.7
Vince Boryla, NYK, SF,23,66, , ,5.3,13.1, .406, ,,, 5.3, 13.1,.406,.406, 4.2,5.0,.837, ,,3.8,2.8, , ,,3.7, 14.9
Harry Boykoff, TOT, C,28,48, , ,2.6,7.0, .375, ,,, 2.6, 7.0,.375,.375, 1.5,2.1,.740, ,,4.6,1.3, , ,,4.1, 6.8
Harry Boykoff, BOS, C,28,32, , ,2.4,6.3, .384, ,,, 2.4, 6.3,.384,.384, 1.4,2.0,.714, ,,4.2,1.3, , ,,4.1, 6.3
Harry Boykoff, TRI, C,28,16, , ,3.0,8.3, .361, ,,, 3.0, 8.3,.361,.361, 1.8,2.3,.784, ,,5.3,1.3, , ,,4.2, 7.8
Frankie Brian, TRI, G,27,68, , ,5.3,16.6, .322, ,,, 5.3, 16.6,.322,.322, 6.1,7.5,.823, ,,3.6,3.9, , ,,3.2, 16.8
Walt Budko, BLB, PF,25,64, , ,2.6,7.3, .356, ,,, 2.6, 7.3,.356,.356, 2.6,3.5,.744, ,,7.1,2.1, , ,,3.2, 7.8
Art Burris, FTW, SF,26,33, , ,0.8,3.4, .248, ,,, 0.8, 3.4,.248,.248, 0.6,1.1,.583, ,,3.2,0.8, , ,,1.5, 2.3
Tommy Byrnes, TOT, F-G,27,47, , ,1.7,5.7, .303, ,,, 1.7, 5.7,.303,.303, 1.2,1.8,.655, ,,1.5,1.5, , ,,1.7, 4.6
Tommy Byrnes, BLB, F-G,27,16, , ,2.2,6.3, .350, ,,, 2.2, 6.3,.350,.350, 1.3,1.8,.714, ,,1.7,1.3, , ,,1.8, 5.6
Tommy Byrnes, WSC, F-G,27,12, , ,1.1,5.4, .200, ,,, 1.1, 5.4,.200,.200, 1.2,2.3,.519, ,,0.9,1.3, , ,,1.7, 3.3
Tommy Byrnes, TRI, F-G,27,19, , ,1.7,5.4, .324, ,,, 1.7, 5.4,.324,.324, 1.1,1.5,.724, ,,1.7,1.7, , ,,1.7, 4.6
Gerry Calabrese, SYR, SG,25,46, , ,1.5,4.3, .355, ,,, 1.5, 4.3,.355,.355, 1.3,1.9,.693, ,,1.4,1.4, , ,,1.7, 4.4
Bill Calhoun, ROC, SG,23,66, , ,2.7,7.7, .346, ,,, 2.7, 7.7,.346,.346, 2.4,3.5,.706, ,,3.0,1.5, , ,,1.3, 7.7
Don Carlson, BLB, G-F,31,9, , ,1.9,5.1, .370, ,,, 1.9, 5.1,.370,.370, 0.9,1.8,.500, ,,1.7,2.1, , ,,2.6, 4.7
Bob Carpenter, TOT, F-C,33,56, , ,1.9,6.0, .325, ,,, 1.9, 6.0,.325,.325, 1.9,2.3,.820, ,,4.1,1.4, , ,,2.1, 5.8
Bob Carpenter, FTW, F-C,33,21, , ,1.3,5.9, .218, ,,, 1.3, 5.9,.218,.218, 2.2,2.8,.810, ,,3.0,0.8, , ,,1.7, 4.8
Bob Carpenter, TRI, F-C,33,35, , ,2.3,6.0, .389, ,,, 2.3, 6.0,.389,.389, 1.7,2.0,.829, ,,4.8,1.8, , ,,2.3, 6.3
Al Cervi*, SYR, PG,33,53, , ,2.5,6.5, .382, ,,, 2.5, 6.5,.382,.382, 3.7,4.5,.819, ,,2.9,3.9, , ,,3.4, 8.6
Leroy Chollet, SYR, F,25,14, , ,0.4,3.6, .118, ,,, 0.4, 3.6,.118,.118, 0.9,1.4,.632, ,,1.1,0.9, , ,,2.1, 1.7
Cal Christensen, TRI, SF,23,67, , ,2.0,6.6, .301, ,,, 2.0, 6.6,.301,.301, 2.6,3.7,.714, ,,7.8,2.4, , ,,4.0, 6.6
Nat Clifton*, NYK, PF,28,65, , ,3.2,10.1, .322, ,,, 3.2, 10.1,.322,.322, 2.2,4.0,.532, ,,7.6,2.5, , ,,4.1, 8.6
Bill Closs, PHW, SF,29,65, , ,3.1,9.7, .320, ,,, 3.1, 9.7,.320,.320, 2.6,3.4,.744, ,,6.2,1.7, , ,,2.4, 8.8
Jack Coleman, ROC, PF,26,67, , ,4.7,11.2, .421, ,,, 4.7, 11.2,.421,.421, 2.0,2.6,.779, ,,8.7,2.9, , ,,2.9, 11.4
Chuck Cooper*, BOS, F,24,66, , ,3.1,9.1, .344, ,,, 3.1, 9.1,.344,.344, 3.0,4.0,.753, ,,8.5,2.6, , ,,3.3, 9.3
Ray Corley, TOT, G,23,34, , ,1.4,4.5, .303, ,,, 1.4, 4.5,.303,.303, 0.9,1.6,.545, ,,2.3,1.8, , ,,1.5, 3.6
Ray Corley, BLB, G,23,16, , ,1.1,4.2, .254, ,,, 1.1, 4.2,.254,.254, 0.9,1.6,.538, ,,2.1,1.4, , ,,1.6, 3.0
