NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Zaid Abdul-Aziz, HOU, C,28,65, , 22.3,3.6,8.3, .437, ,,, 3.6, 8.3,.437,.437, 2.4,3.1,.783, 2.4,5.1,7.5,1.3, 0.6, 1.1,,2.0, 9.7
Kareem Abdul-Jabbar*, MIL, C,27,65, , 42.3,12.5,24.4, .513, ,,, 12.5, 24.4,.513,.513, 5.0,6.6,.763, 3.0,11.0,14.0,4.1, 1.0, 3.3,,3.2, 30.0
Don Adams, DET, SF,27,51, , 27.0,2.5,6.2, .403, ,,, 2.5, 6.2,.403,.403, 0.9,1.5,.577, 1.2,3.5,4.8,1.5, 1.4, 0.4,,3.5, 5.9
Rick Adelman, TOT, PG,28,58, , 18.5,2.1,5.0, .423, ,,, 2.1, 5.0,.423,.423, 1.3,1.8,.709, 0.4,1.2,1.6,1.9, 1.2, 0.1,,1.7, 5.5
Rick Adelman, CHI, PG,28,12, , 28.3,3.6,8.7, .413, ,,, 3.6, 8.7,.413,.413, 2.3,3.3,.718, 0.5,1.7,2.2,2.9, 1.3, 0.1,,2.6, 9.5
Rick Adelman, NOJ, PG,28,28, , 21.9,2.4,5.7, .421, ,,, 2.4, 5.7,.421,.421, 1.5,2.1,.695, 0.5,1.5,2.0,2.5, 1.7, 0.2,,2.1, 6.3
Rick Adelman, KCO, PG,28,18, , 6.7,0.7,1.6, .464, ,,, 0.7, 1.6,.464,.464, 0.2,0.3,.800, 0.3,0.4,0.8,0.4, 0.4, 0.1,,0.7, 1.7
Lucius Allen, TOT, PG,27,66, , 35.7,7.7,17.7, .437, ,,, 7.7, 17.7,.437,.437, 3.6,4.6,.778, 1.4,2.8,4.2,5.6, 2.1, 0.4,,3.3, 19.1
Lucius Allen, MIL, PG,27,10, , 34.2,6.8,16.4, .415, ,,, 6.8, 16.4,.415,.415, 3.1,3.7,.838, 0.9,2.2,3.1,5.3, 1.4, 0.1,,2.3, 16.7
Lucius Allen, LAL, PG,27,56, , 35.9,7.9,18.0, .440, ,,, 7.9, 18.0,.440,.440, 3.7,4.8,.770, 1.4,3.0,4.4,5.7, 2.2, 0.5,,3.5, 19.5
Dan Anderson, POR, SG,24,43, , 10.5,1.1,2.4, .448, ,,, 1.1, 2.4,.448,.448, 0.6,0.7,.867, 0.2,0.5,0.7,1.9, 0.4, 0.0,,1.0, 2.8
Tiny Archibald*, KCO, PG,26,82, , 39.6,9.3,20.3, .456, ,,, 9.3, 20.3,.456,.456, 8.0,9.1,.872, 0.6,2.1,2.7,6.8, 1.5, 0.1,,2.3, 26.5
Jim Ard, BOS, C,26,59, , 12.2,1.5,4.5, .335, ,,, 1.5, 4.5,.335,.335, 0.8,1.1,.738, 1.0,2.4,3.4,0.7, 0.2, 0.5,,1.6, 3.8
Dennis Awtrey, PHO, C,26,82, , 34.6,4.1,8.8, .470, ,,, 4.1, 8.8,.470,.470, 1.6,2.4,.677, 3.0,5.6,8.6,4.2, 0.7, 0.6,,2.8, 9.9
Gus Bailey, HOU, SG,23,47, , 9.5,1.1,2.7, .405, ,,, 1.1, 2.7,.405,.405, 0.4,0.9,.488, 0.5,1.3,1.7,1.3, 0.4, 0.3,,1.1, 2.6
Mike Bantom, PHO, SF,23,82, , 27.3,5.1,11.1, .461, ,,, 5.1, 11.1,.461,.461, 2.3,3.2,.714, 2.6,4.2,6.7,1.9, 0.8, 0.6,,3.3, 12.5
Jim Barnett, TOT, SG,30,73, , 24.3,3.9,8.9, .437, ,,, 3.9, 8.9,.437,.437, 2.7,3.3,.836, 0.8,1.6,2.5,2.4, 0.6, 0.2,,2.2, 10.5
Jim Barnett, NOJ, SG,30,45, , 27.5,4.8,10.7, .448, ,,, 4.8, 10.7,.448,.448, 3.5,4.2,.830, 1.0,1.8,2.8,3.0, 0.8, 0.4,,2.4, 13.0
Jim Barnett, NYK, SG,30,28, , 19.2,2.5,6.1, .407, ,,, 2.5, 6.1,.407,.407, 1.5,1.8,.860, 0.5,1.3,1.8,1.4, 0.4, 0.0,,1.8, 6.5
Rick Barry*, GSW, SF,30,80, , 40.4,12.9,27.7, .464, ,,, 12.9, 27.7,.464,.464, 4.9,5.5,.904, 1.2,4.6,5.7,6.2, 2.9, 0.4,,2.8, 30.6
Butch Beard, GSW, PG,27,82, , 30.7,5.0,9.4, .528, ,,, 5.0, 9.4,.528,.528, 2.8,3.4,.832, 1.4,2.4,3.9,4.2, 1.6, 0.1,,3.6, 12.8
Zelmo Beaty*, LAL, C,35,69, , 17.6,2.0,4.5, .439, ,,, 2.0, 4.5,.439,.439, 1.6,2.0,.800, 1.3,3.4,4.7,1.1, 0.7, 0.4,,1.9, 5.5
Ron Behagen, KCO, PF,24,81, , 27.2,4.1,10.3, .399, ,,, 4.1, 10.3,.399,.399, 2.5,3.3,.754, 1.8,5.5,7.3,1.9, 0.7, 0.5,,3.7, 10.7
Dennis Bell, NYK, SF,23,52, , 8.9,1.3,3.5, .376, ,,, 1.3, 3.5,.376,.376, 0.4,0.7,.556, 0.9,1.1,2.0,0.5, 0.4, 0.2,,1.0, 3.0
Walt Bellamy*, NOJ, C,35,1, , 14.0,2.0,2.0, 1.000, ,,, 2.0, 2.0,1.000,1.000, 2.0,2.0,1.000, 0.0,5.0,5.0,0.0, 0.0, 0.0,,2.0, 6.0
Leon Benbow, CHI, SG,24,39, , 6.5,0.9,2.4, .372, ,,, 0.9, 2.4,.372,.372, 0.4,0.5,.833, 0.4,0.6,1.0,0.6, 0.3, 0.2,,1.1, 2.2
Henry Bibby, TOT, PG,25,75, , 18.7,3.6,8.3, .436, ,,, 3.6, 8.3,.436,.436, 1.8,2.5,.725, 0.6,1.2,1.8,2.4, 0.7, 0.0,,2.1, 9.0
Henry Bibby, NYK, PG,25,47, , 18.6,3.8,8.5, .448, ,,, 3.8, 8.5,.448,.448, 1.5,2.0,.719, 0.6,1.2,1.9,2.2, 0.6, 0.1,,2.0, 9.1
