NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Zaid Abdul-Aziz, TOT, C,22,49, , 19.3,2.9,8.0, .369, ,,, 2.9, 8.0,.369,.369, 1.4,2.3,.619, ,,8.3,0.8, , ,,2.3, 7.3
Zaid Abdul-Aziz, CIN, C-F,22,20, , 5.4,0.9,2.2, .419, ,,, 0.9, 2.2,.419,.419, 0.1,0.4,.286, ,,1.6,0.2, , ,,0.9, 1.9
Zaid Abdul-Aziz, MIL, C,22,29, , 28.9,4.3,12.0, .363, ,,, 4.3, 12.0,.363,.363, 2.3,3.7,.642, ,,13.0,1.1, , ,,3.4, 11.0
Rick Adelman, SDR, PG,22,77, , 18.8,2.3,5.8, .394, ,,, 2.3, 5.8,.394,.394, 1.7,2.6,.642, ,,2.8,3.1, , ,,2.1, 6.3
Bob Allen, SFW, PF,22,27, , 8.6,0.5,1.6, .326, ,,, 0.5, 1.6,.326,.326, 0.7,1.3,.556, ,,2.1,0.4, , ,,1.0, 1.8
Cliff Anderson, LAL, SG,24,35, , 8.3,1.3,3.1, .407, ,,, 1.3, 3.1,.407,.407, 1.3,2.3,.573, ,,1.3,0.9, , ,,1.7, 3.9
Al Attles*, SFW, PG,32,51, , 29.7,3.2,7.0, .451, ,,, 3.2, 7.0,.451,.451, 1.9,2.9,.638, ,,3.5,6.0, , ,,3.6, 8.2
Harry Barnes, SDR, SF,23,22, , 5.7,0.8,2.9, .281, ,,, 0.8, 2.9,.281,.281, 0.3,0.6,.538, ,,1.2,0.2, , ,,1.1, 2.0
Jim Barnes, TOT, C-PF,27,59, , 12.0,1.9,4.4, .441, ,,, 1.9, 4.4,.441,.441, 1.3,1.9,.676, ,,3.8,0.5, , ,,2.1, 5.2
Jim Barnes, CHI, PF,27,10, , 11.1,2.3,5.9, .390, ,,, 2.3, 5.9,.390,.390, 1.0,1.9,.526, ,,3.0,0.1, , ,,1.5, 5.6
