NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jim Baechtold, BLB, SF,25,64, , 29.6,3.8,9.7, .390, ,,, 3.8, 9.7,.390,.390, 2.8,3.8,.738, ,,3.4,2.4, , ,,3.2, 10.3
Don Barksdale*, BLB, PF,29,65, , 35.4,4.9,12.8, .387, ,,, 4.9, 12.8,.387,.387, 4.0,6.2,.641, ,,9.2,2.6, , ,,4.2, 13.8
Leo Barnhorst, INO, SF,28,71, , 40.4,5.7,14.6, .389, ,,, 5.7, 14.6,.389,.389, 2.3,3.6,.629, ,,6.8,3.9, , ,,3.5, 13.6
Nelson Bobb, PHW, PG,28,55, , 23.4,2.2,5.8, .374, ,,, 2.2, 5.8,.374,.374, 1.9,2.9,.648, ,,2.9,3.5, , ,,2.9, 6.2
Vince Boryla, NYK, SF,25,66, , 33.3,3.8,10.4, .370, ,,, 3.8, 10.4,.370,.370, 2.5,3.0,.821, ,,3.5,2.5, , ,,3.4, 10.2
Don Boven, TOT, SF,27,67, , 20.5,2.3,6.4, .358, ,,, 2.3, 6.4,.358,.358, 2.2,3.1,.694, ,,3.2,1.2, , ,,3.4, 6.7
Don Boven, MLH, F-G,27,27, , 24.7,3.2,8.1, .397, ,,, 3.2, 8.1,.397,.397, 2.5,4.0,.626, ,,3.6,1.3, , ,,3.8, 8.9
Don Boven, BLB, F-G,27,23, , 14.3,1.3,4.2, .309, ,,, 1.3, 4.2,.309,.309, 2.0,2.6,.780, ,,2.7,1.0, , ,,3.0, 4.6
Don Boven, FTW, SF,27,17, , 22.2,2.1,6.5, .324, ,,, 2.1, 6.5,.324,.324, 1.9,2.5,.744, ,,3.4,1.2, , ,,3.4, 6.1
Bob Brannum, BOS, PF,26,71, , 26.8,2.6,7.6, .348, ,,, 2.6, 7.6,.348,.348, 1.5,2.6,.595, ,,7.6,2.1, , ,,4.0, 6.8
Jim Brasco, TOT, G,21,20, , 12.4,1.3,4.7, .266, ,,, 1.3, 4.7,.266,.266, 1.4,1.7,.794, ,,1.2,1.1, , ,,1.5, 3.9
Jim Brasco, SYR, G,21,10, , 11.1,1.1,4.8, .229, ,,, 1.1, 4.8,.229,.229, 1.1,1.4,.786, ,,1.5,1.2, , ,,1.8, 3.3
Jim Brasco, MLH, G,21,10, , 13.7,1.4,4.6, .304, ,,, 1.4, 4.6,.304,.304, 1.6,2.0,.800, ,,0.9,0.9, , ,,1.2, 4.4
Carl Braun*, NYK, SG,25,70, , 33.1,4.6,11.5, .400, ,,, 4.6, 11.5,.400,.400, 4.7,5.7,.825, ,,3.3,3.5, , ,,4.1, 14.0
Frankie Brian, FTW, SG,29,68, , 28.1,3.6,10.3, .351, ,,, 3.6, 10.3,.351,.351, 3.5,4.4,.795, ,,2.0,2.1, , ,,3.0, 10.7
Dick Bunt, TOT, PG,22,26, , 10.4,1.1,4.0, .276, ,,, 1.1, 4.0,.276,.276, 1.3,1.8,.708, ,,1.1,0.7, , ,,1.5, 3.5
