NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Zaid Abdul-Aziz, SEA, C,29,27, , 8.3,1.3,2.8, .467, ,,, 1.3, 2.8,.467,.467, 0.6,1.1,.552, 1.1,1.7,2.8,0.6, 0.3, 0.6,,1.1, 3.2
Kareem Abdul-Jabbar*, LAL, C,28,82, , 41.2,11.1,21.1, .529, ,,, 11.1, 21.1,.529,.529, 5.5,7.8,.703, 3.3,13.5,16.9,5.0, 1.5, 4.1,,3.6, 27.7
Alvan Adams, PHO, C,21,80, , 33.2,7.9,16.8, .469, ,,, 7.9, 16.8,.469,.469, 3.3,4.4,.735, 2.7,6.4,9.1,5.6, 1.5, 1.5,,3.4, 19.0
Don Adams, BUF, SF,28,56, , 12.6,1.2,3.0, .394, ,,, 1.2, 3.0,.394,.394, 0.7,1.0,.702, 0.7,1.9,2.6,1.3, 0.5, 0.1,,2.3, 3.1
Lucius Allen, LAL, PG,28,76, , 31.4,6.1,13.2, .459, ,,, 6.1, 13.2,.459,.459, 2.6,3.3,.776, 0.8,2.0,2.8,4.7, 1.3, 0.3,,3.2, 14.7
Dan Anderson, POR, PG,25,52, , 11.8,1.7,3.5, .486, ,,, 1.7, 3.5,.486,.486, 1.0,1.2,.836, 0.3,0.9,1.2,1.6, 0.4, 0.0,,1.1, 4.4
Jerome Anderson, BOS, SG,22,22, , 5.7,1.1,2.0, .556, ,,, 1.1, 2.0,.556,.556, 0.5,0.7,.688, 0.2,0.4,0.6,0.3, 0.1, 0.1,,1.1, 2.8
Tiny Archibald*, KCK, PG,27,78, , 40.8,9.2,20.3, .453, ,,, 9.2, 20.3,.453,.453, 6.4,8.0,.802, 0.9,1.9,2.7,7.9, 1.6, 0.2,,2.2, 24.8
Jim Ard, BOS, C,27,81, , 10.5,1.3,3.6, .364, ,,, 1.3, 3.6,.364,.364, 0.9,1.2,.710, 1.2,2.4,3.6,0.6, 0.1, 0.4,,1.7, 3.5
Dennis Awtrey, PHO, C,27,74, , 18.6,1.9,4.1, .467, ,,, 1.9, 4.1,.467,.467, 1.0,1.5,.688, 1.3,2.7,4.0,2.1, 0.3, 0.3,,2.1, 4.9
Gus Bailey, HOU, SG,24,30, , 8.7,0.9,2.6, .364, ,,, 0.9, 2.6,.364,.364, 0.5,0.9,.500, 0.7,1.0,1.7,1.4, 0.5, 0.3,,1.1, 2.3
Mike Bantom, TOT, SF,24,73, , 21.5,3.0,6.5, .462, ,,, 3.0, 6.5,.462,.462, 1.9,2.7,.683, 1.9,3.4,5.4,1.4, 0.4, 0.4,,3.0, 7.9
Mike Bantom, PHO, SF,24,7, , 9.7,1.1,3.7, .308, ,,, 1.1, 3.7,.308,.308, 0.7,0.7,1.000, 1.0,2.3,3.3,0.4, 0.3, 0.3,,1.9, 3.0
Mike Bantom, SEA, SF,24,66, , 22.8,3.2,6.8, .471, ,,, 3.2, 6.8,.471,.471, 2.0,2.9,.675, 2.0,3.6,5.6,1.5, 0.4, 0.4,,3.2, 8.4
Jim Barnett, NYK, SG,31,71, , 14.5,2.3,5.2, .442, ,,, 2.3, 5.2,.442,.442, 1.3,1.6,.789, 0.7,0.6,1.2,1.3, 0.3, 0.0,,1.2, 5.9
Rick Barry*, GSW, SF,31,81, , 38.5,8.7,20.0, .435, ,,, 8.7, 20.0,.435,.435, 3.5,3.8,.923, 0.9,5.2,6.1,6.1, 2.5, 0.3,,2.7, 21.0
Jerry Baskerville, PHI, SF,24,21, , 5.0,0.4,1.2, .308, ,,, 0.4, 1.2,.308,.308, 0.5,0.8,.625, 0.6,0.7,1.3,0.1, 0.3, 0.2,,1.5, 1.2
Butch Beard, TOT, PG,28,75, , 22.7,3.0,6.6, .460, ,,, 3.0, 6.6,.460,.460, 1.9,2.6,.750, 1.4,2.8,4.1,2.9, 1.1, 0.1,,2.9, 8.0
Butch Beard, CLE, PG,28,15, , 17.0,2.3,6.0, .389, ,,, 2.3, 6.0,.389,.389, 1.8,2.5,.730, 0.9,1.9,2.9,3.0, 0.7, 0.1,,2.4, 6.5
