NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar*, LAL, C,31,80, , 39.5,9.7,16.8, .577, ,,, 9.7, 16.8,.577,.577, 4.4,5.9,.736, 2.6,10.2,12.8,5.4, 1.0, 4.0,3.5,2.9, 23.8
Tom Abernethy, GSW, PF,24,70, , 17.4,2.5,4.9, .515, ,,, 2.5, 4.9,.515,.515, 1.0,1.3,.745, 1.1,2.0,3.1,1.1, 0.6, 0.2,0.5,1.9, 6.0
Alvan Adams, PHO, C,24,77, , 30.7,7.4,13.9, .530, ,,, 7.4, 13.9,.530,.530, 3.0,3.8,.799, 2.9,6.3,9.2,4.7, 1.4, 0.8,3.6,3.2, 17.8
Lucius Allen, KCK, PG,31,31, , 13.3,2.2,5.6, .397, ,,, 2.2, 5.6,.397,.397, 0.6,1.1,.576, 0.5,1.0,1.5,1.4, 0.7, 0.2,1.0,1.7, 5.1
Kim Anderson, POR, SF,23,21, , 10.7,1.1,3.7, .312, ,,, 1.1, 3.7,.312,.312, 0.7,1.3,.536, 0.8,1.3,2.1,0.7, 0.2, 0.2,1.0,2.0, 3.0
Tiny Archibald*, BOS, PG,30,69, , 24.1,3.8,8.3, .452, ,,, 3.8, 8.3,.452,.452, 3.5,4.4,.788, 0.4,1.1,1.5,4.7, 0.8, 0.1,2.9,1.9, 11.0
Tate Armstrong, CHI, SG,23,26, , 10.0,1.1,2.7, .400, ,,, 1.1, 2.7,.400,.400, 0.4,0.5,.769, 0.3,0.5,0.8,1.2, 0.4, 0.0,0.8,0.8, 2.5
Dennis Awtrey, TOT, C,30,63, , 11.8,0.7,1.7, .411, ,,, 0.7, 1.7,.411,.411, 0.7,0.9,.732, 0.7,1.7,2.4,1.1, 0.3, 0.2,0.8,1.7, 2.0
Dennis Awtrey, BOS, C,30,23, , 10.7,0.7,1.9, .386, ,,, 0.7, 1.9,.386,.386, 0.7,0.9,.800, 0.6,1.5,2.0,0.9, 0.1, 0.3,0.9,1.6, 2.2
Dennis Awtrey, SEA, C,30,40, , 12.5,0.7,1.6, .429, ,,, 0.7, 1.6,.429,.429, 0.6,0.9,.694, 0.7,1.9,2.6,1.2, 0.3, 0.2,0.8,1.7, 2.0
Gus Bailey, NOJ, SG,27,2, , 4.5,1.0,3.5, .286, ,,, 1.0, 3.5,.286,.286, 0.0,0.0,, 1.0,0.0,1.0,1.0, 0.0, 0.0,0.5,0.5, 2.0
Greg Ballard, WSB, SF,24,82, , 18.9,3.2,6.8, .465, ,,, 3.2, 6.8,.465,.465, 1.5,2.1,.692, 1.7,3.7,5.5,1.4, 0.7, 0.4,1.2,2.0, 7.8
Mike Bantom, IND, PF,27,81, , 31.2,6.0,12.8, .465, ,,, 6.0, 12.8,.465,.465, 2.8,4.2,.672, 2.8,5.2,8.0,2.8, 1.2, 0.8,2.4,3.9, 14.7
Tom Barker, TOT, C,23,39, , 12.2,1.7,4.0, .436, ,,, 1.7, 4.0,.436,.436, 0.7,0.9,.730, 1.2,1.9,3.1,0.4, 0.3, 0.3,0.9,1.9, 4.2
Tom Barker, HOU, C,23,5, , 3.2,0.6,1.2, .500, ,,, 0.6, 1.2,.500,.500, 0.4,0.4,1.000, 0.4,0.8,1.2,0.0, 0.0, 0.0,0.2,1.0, 1.6
Tom Barker, BOS, C,23,12, , 10.9,1.8,4.0, .438, ,,, 1.8, 4.0,.438,.438, 0.9,1.3,.733, 1.0,1.5,2.5,0.5, 0.3, 0.3,1.1,2.2, 4.4
Tom Barker, NYK, C,23,22, , 15.0,2.0,4.6, .431, ,,, 2.0, 4.6,.431,.431, 0.6,0.9,.700, 1.4,2.4,3.8,0.4, 0.3, 0.3,0.9,2.0, 4.6
Marvin Barnes, BOS, PF,26,38, , 20.9,3.5,7.1, .491, ,,, 3.5, 7.1,.491,.491, 1.1,1.7,.652, 1.5,3.2,4.7,1.4, 1.0, 1.0,1.8,3.8, 8.1
Rick Barry*, HOU, SF,34,80, , 32.1,5.8,12.5, .461, ,,, 5.8, 12.5,.461,.461, 2.0,2.1,.947, 0.5,3.0,3.5,6.3, 1.2, 0.5,2.5,2.4, 13.5
Tim Bassett, NJN, PF,27,82, , 18.4,1.4,3.8, .371, ,,, 1.4, 3.8,.371,.371, 1.1,1.6,.679, 2.1,3.0,5.1,1.2, 0.5, 0.4,1.3,2.7, 3.9
Butch Beard, NYK, PG,31,7, , 12.1,1.6,3.7, .423, ,,, 1.6, 3.7,.423,.423, 0.0,0.0,, 0.1,1.3,1.4,2.7, 1.0, 0.0,1.4,1.9, 3.1
Ron Behagen, TOT, PF,28,15, , 11.0,1.9,4.1, .452, ,,, 1.9, 4.1,.452,.452, 0.7,0.9,.769, 0.9,1.9,2.8,0.5, 0.3, 0.1,0.7,2.4, 4.4
Ron Behagen, DET, PF,28,1, , 1.0,0.0,0.0, , ,,, 0.0, 0.0,,, 0.0,0.0,, 0.0,0.0,0.0,0.0, 0.0, 0.0,1.0,1.0, 0.0
Ron Behagen, NYK, PF,28,5, , 7.6,1.0,2.4, .417, ,,, 1.0, 2.4,.417,.417, 0.4,0.4,1.000, 0.4,1.8,2.2,0.4, 0.4, 0.0,0.8,1.6, 2.4
Ron Behagen, KCK, PF,28,9, , 14.0,2.6,5.6, .460, ,,, 2.6, 5.6,.460,.460, 0.9,1.2,.727, 1.2,2.2,3.4,0.6, 0.2, 0.1,0.7,3.0, 6.0
Kent Benson, MIL, C,24,82, , 26.0,5.0,9.7, .518, ,,, 5.0, 9.7,.518,.518, 2.2,3.0,.735, 2.3,4.8,7.1,2.5, 1.1, 1.0,1.9,3.4, 12.3
Del Beshore, MIL, PG,22,1, , 1.0,0.0,0.0, , ,,, 0.0, 0.0,,, 0.0,0.0,, 0.0,0.0,0.0,0.0, 0.0, 0.0,0.0,0.0, 0.0
Henry Bibby, PHI, PG,29,82, , 31.0,4.5,10.6, .423, ,,, 4.5, 10.6,.423,.423, 3.2,4.1,.794, 0.9,2.1,3.0,4.5, 0.9, 0.1,2.4,2.4, 12.2
Bob Bigelow, SDC, SF,25,29, , 14.2,1.2,3.1, .400, ,,, 1.2, 3.1,.400,.400, 0.4,0.7,.619, 0.5,1.1,1.6,0.9, 0.4, 0.1,0.6,1.3, 2.9
Otis Birdsong, KCK, SG,23,82, , 34.6,9.0,17.8, .509, ,,, 9.0, 17.8,.509,.509, 3.6,5.0,.725, 2.1,2.2,4.3,3.4, 1.5, 0.2,2.4,3.1, 21.7
Ron Boone, LAL, SG,32,82, , 19.3,3.2,6.9, .455, ,,, 3.2, 6.9,.455,.455, 1.1,1.3,.865, 0.6,1.1,1.8,1.9, 0.8, 0.1,1.8,2.1, 7.4
Tom Boswell, DEN, PF,25,79, , 27.9,4.1,7.6, .532, ,,, 4.1, 7.6,.532,.532, 2.5,3.6,.697, 3.1,3.7,6.8,3.1, 0.6, 0.6,2.3,3.3, 10.6
