NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Red Kerr, SYR, C,30,80, , 32.0,6.3,13.4, .474, ,,, 6.3, 13.4,.474,.474, 3.0,4.0,.753, ,,13.0,2.7, , ,,2.6, 15.7
Maurice King, CHZ, PG,27,37, , 25.8,2.5,6.5, .390, ,,, 2.5, 6.5,.390,.390, 0.8,0.9,.824, ,,2.8,3.8, , ,,2.4, 5.8
Jim Krebs, LAL, C,27,79, , 24.2,3.4,7.9, .434, ,,, 3.4, 7.9,.434,.434, 1.5,1.9,.747, ,,6.4,1.1, , ,,3.2, 8.3
Fred LaCour, SFW, G-F,24,16, , 10.7,1.8,4.6, .384, ,,, 1.8, 4.6,.384,.384, 0.6,1.0,.563, ,,1.5,1.2, , ,,1.7, 4.1
Rudy LaRusso, LAL, PF,25,75, , 33.4,4.3,10.1, .422, ,,, 4.3, 10.1,.422,.422, 3.8,5.2,.718, ,,10.0,2.5, , ,,3.4, 12.3
George Lee, SFW, SG,26,64, , 18.6,2.3,6.2, .378, ,,, 2.3, 6.2,.378,.378, 2.4,3.0,.788, ,,3.4,1.0, , ,,1.8, 7.0
Slick Leonard*, CHZ, PG,30,32, , 27.5,2.6,7.7, .343, ,,, 2.6, 7.7,.343,.343, 1.8,2.7,.694, ,,2.1,4.5, , ,,2.6, 7.1
Jim Loscutoff, BOS, SF,32,63, , 9.6,1.5,4.0, .375, ,,, 1.5, 4.0,.375,.375, 0.3,0.7,.524, ,,2.5,0.4, , ,,2.0, 3.3
Kevin Loughery, DET, SG,22,57, , 14.8,2.6,7.0, .368, ,,, 2.6, 7.0,.368,.368, 1.2,1.8,.710, ,,1.9,1.8, , ,,2.4, 6.4
Clyde Lovellette*, BOS, C,33,61, , 9.3,2.6,6.2, .428, ,,, 2.6, 6.2,.428,.428, 1.2,1.6,.745, ,,2.9,0.4, , ,,2.2, 6.5
Ted Luckenbill, SFW, PF,23,20, , 10.1,1.3,3.4, .382, ,,, 1.3, 3.4,.382,.382, 0.5,1.0,.450, ,,2.8,0.4, , ,,1.7, 3.1
Nick Mantis, TOT, SG,27,42, , 16.3,2.2,5.8, .385, ,,, 2.2, 5.8,.385,.385, 0.6,1.2,.551, ,,2.0,2.0, , ,,2.2, 5.1
Nick Mantis, STL, SG,27,9, , 6.4,0.9,2.2, .400, ,,, 0.9, 2.2,.400,.400, 0.3,1.0,.333, ,,0.7,0.8, , ,,1.4, 2.1
Nick Mantis, CHZ, SG,27,33, , 19.0,2.6,6.8, .384, ,,, 2.6, 6.8,.384,.384, 0.7,1.2,.600, ,,2.4,2.3, , ,,2.5, 5.9
Bill McGill, CHZ, C,23,60, , 9.8,3.0,5.9, .513, ,,, 3.0, 5.9,.513,.513, 1.3,2.0,.672, ,,2.7,0.6, , ,,2.0, 7.4
Porter Meriwether, SYR, PG,22,31, , 8.6,1.5,3.9, .393, ,,, 1.5, 3.9,.393,.393, 0.7,1.1,.697, ,,0.9,1.4, , ,,0.6, 3.8
Tom Meschery, SFW, PF,24,64, , 35.1,6.2,14.6, .425, ,,, 6.2, 14.6,.425,.425, 3.6,4.9,.728, ,,9.8,1.6, , ,,3.9, 16.0
Howie Montgomery, SFW, SF,22,20, , 18.2,3.3,7.7, .425, ,,, 3.3, 7.7,.425,.425, 0.7,1.2,.609, ,,3.5,1.1, , ,,1.8, 7.2
Jackie Moreland, DET, PF,24,78, , 19.4,3.5,8.0, .436, ,,, 3.5, 8.0,.436,.436, 1.9,2.7,.678, ,,5.8,1.5, , ,,2.9, 8.8
Willie Naulls, TOT, SF,28,70, , 27.2,5.3,12.7, .417, ,,, 5.3, 12.7,.417,.417, 2.4,3.0,.802, ,,7.4,1.5, , ,,2.9, 12.9
Willie Naulls, NYK, SF,28,23, , 29.4,6.7,16.3, .413, ,,, 6.7, 16.3,.413,.413, 3.4,4.2,.813, ,,8.7,1.9, , ,,1.8, 16.9
Willie Naulls, SFW, SF,28,47, , 26.1,4.6,10.9, .420, ,,, 4.6, 10.9,.420,.420, 1.9,2.4,.793, ,,6.7,1.2, , ,,3.5, 11.0
Don Nelson*, CHZ, SF,22,62, , 17.3,2.1,4.7, .440, ,,, 2.1, 4.7,.440,.440, 2.6,3.6,.729, ,,4.5,1.2, , ,,2.2, 6.8
Paul Neumann, SYR, PG,25,80, , 19.8,3.0,6.3, .471, ,,, 3.0, 6.3,.471,.471, 2.3,2.8,.815, ,,2.5,2.8, , ,,2.8, 8.2
Bevo Nordmann, TOT, C,23,53, , 18.9,2.9,6.0, .489, ,,, 2.9, 6.0,.489,.489, 1.1,2.3,.484, ,,6.0,0.9, , ,,2.9, 7.0
Bevo Nordmann, STL, C,23,27, , 10.0,1.3,3.0, .450, ,,, 1.3, 3.0,.450,.450, 0.8,1.4,.538, ,,3.1,0.3, , ,,1.8, 3.4
Bevo Nordmann, NYK, C,23,26, , 28.0,4.6,9.2, .502, ,,, 4.6, 9.2,.502,.502, 1.5,3.2,.458, ,,8.9,1.5, , ,,4.1, 10.7
Mel Nowell, CHZ, SG,23,39, , 15.1,2.4,6.1, .388, ,,, 2.4, 6.1,.388,.388, 1.2,1.7,.727, ,,1.7,2.2, , ,,2.2, 5.9
Don Ohl, DET, SG,26,80, , 37.0,8.0,18.1, .439, ,,, 8.0, 18.1,.439,.439, 3.4,4.8,.724, ,,3.0,4.1, , ,,2.9, 19.3
Bud Olsen, CIN, PF,22,52, , 7.2,0.8,2.6, .323, ,,, 0.8, 2.6,.323,.323, 0.5,0.8,.692, ,,2.0,0.8, , ,,1.5, 2.2
Bob Pettit*, STL, PF,30,79, , 39.1,9.8,22.1, .446, ,,, 9.8, 22.1,.446,.446, 8.7,11.2,.774, ,,15.1,3.1, , ,,3.6, 28.4
Gary Phillips, SFW, SG,23,75, , 24.0,3.4,8.6, .398, ,,, 3.4, 8.6,.398,.398, 1.3,2.0,.638, ,,3.0,1.8, , ,,2.5, 8.1
Dave Piontek, CIN, SF,28,48, , 9.5,1.3,3.3, .380, ,,, 1.3, 3.3,.380,.380, 0.2,0.3,.625, ,,2.0,0.5, , ,,1.4, 2.7
Frank Ramsey*, BOS, SG,31,77, , 20.0,3.7,9.6, .382, ,,, 3.7, 9.6,.382,.382, 3.5,4.3,.816, ,,3.7,1.2, , ,,3.4, 10.9
Hub Reed, CIN, C,26,80, , 16.2,2.5,5.3, .466, ,,, 2.5, 5.3,.466,.466, 0.9,1.2,.755, ,,5.0,1.0, , ,,3.3, 5.9
Joe Roberts, SYR, PF,26,33, , 14.1,2.2,5.9, .372, ,,, 2.2, 5.9,.372,.372, 1.1,1.5,.686, ,,4.7,0.5, , ,,2.0, 5.5
Oscar Robertson*, CIN, PG,24,80, , 44.0,10.3,19.9, .518, ,,, 10.3, 19.9,.518,.518, 7.7,9.5,.810, ,,10.4,9.5, , ,,3.7, 28.3
Guy Rodgers*, SFW, PG,27,79, , 41.1,5.6,14.6, .387, ,,, 5.6, 14.6,.387,.387, 2.6,3.6,.727, ,,5.0,10.4, , ,,3.7, 13.9
John Rudometkin, NYK, SF,22,56, , 10.2,1.9,5.5, .352, ,,, 1.9, 5.5,.352,.352, 1.3,1.7,.768, ,,2.7,0.5, , ,,1.0, 5.2
Bill Russell*, BOS, C,28,78, , 44.9,6.6,15.2, .432, ,,, 6.6, 15.2,.432,.432, 3.7,6.6,.555, ,,23.6,4.5, , ,,2.4, 16.8
Tom Sanders*, BOS, SF,24,80, , 26.9,4.2,9.3, .456, ,,, 4.2, 9.3,.456,.456, 2.3,3.2,.738, ,,7.2,1.2, , ,,3.3, 10.8
Woody Sauldsberry, TOT, PF,28,77, , 26.4,4.8,12.5, .379, ,,, 4.8, 12.5,.379,.379, 1.4,2.1,.656, ,,5.8,1.0, , ,,3.0, 10.9
Woody Sauldsberry, CHZ, F-C,28,54, , 30.8,5.6,14.7, .384, ,,, 5.6, 14.7,.384,.384, 1.6,2.4,.685, ,,6.8,1.2, , ,,3.2, 12.9
Woody Sauldsberry, STL, PF,28,23, , 16.1,2.7,7.6, .356, ,,, 2.7, 7.6,.356,.356, 0.8,1.4,.545, ,,3.5,0.5, , ,,2.6, 6.2
