NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Don Anielak, NYK, F,24,1, , 10.0,0.0,4.0, .000, ,,, 0.0, 4.0,.000,.000, 3.0,4.0,.750, ,,2.0,0.0, , ,,0.0, 3.0
Paul Arizin*, PHW, SF,26,72, , 41.0,7.3,18.4, .399, ,,, 7.3, 18.4,.399,.399, 6.3,8.1,.776, ,,9.4,2.9, , ,,3.8, 21.0
Jim Baechtold, NYK, SF,27,72, , 35.2,5.0,12.5, .403, ,,, 5.0, 12.5,.403,.403, 3.9,4.7,.823, ,,4.3,3.0, , ,,2.8, 13.9
Don Barksdale*, BOS, SF,31,72, , 24.9,3.7,9.7, .382, ,,, 3.7, 9.7,.382,.382, 3.1,4.7,.651, ,,7.6,1.8, , ,,3.1, 10.5
Bob Brannum, BOS, PF,28,71, , 22.9,2.5,6.5, .378, ,,, 2.5, 6.5,.378,.378, 1.3,1.8,.709, ,,6.9,1.8, , ,,3.3, 6.2
Carl Braun*, NYK, SG,27,71, , 34.9,5.6,14.5, .388, ,,, 5.6, 14.5,.388,.388, 3.9,4.8,.801, ,,4.2,3.9, , ,,2.9, 15.1
Tom Brennan, PHW, SF,24,11, , 4.7,0.5,1.0, .455, ,,, 0.5, 1.0,.455,.455, 0.0,0.0,, ,,0.5,0.2, , ,,0.5, 0.9
Frankie Brian, FTW, SG,31,71, , 19.5,3.3,8.8, .380, ,,, 3.3, 8.8,.380,.380, 3.1,3.6,.851, ,,1.8,2.0, , ,,1.9, 9.7
Bill Calhoun, MLH, SG,27,69, , 30.6,2.1,7.0, .300, ,,, 2.1, 7.0,.300,.300, 2.4,3.4,.703, ,,4.2,3.4, , ,,2.6, 6.6
Bob Carney, MNL, SG,22,19, , 12.8,1.3,3.4, .375, ,,, 1.3, 3.4,.375,.375, 1.1,2.1,.525, ,,2.4,0.8, , ,,1.9, 3.6
Fred Christ, NYK, G,24,6, , 8.0,0.8,3.0, .278, ,,, 0.8, 3.0,.278,.278, 1.7,1.8,.909, ,,1.3,1.2, , ,,0.5, 3.3
Cal Christensen, ROC, SF,27,71, , 17.0,1.6,4.3, .374, ,,, 1.6, 4.3,.374,.374, 1.7,2.9,.602, ,,5.5,1.5, , ,,2.5, 5.0
Nat Clifton*, NYK, PF,32,72, , 33.2,5.0,12.9, .386, ,,, 5.0, 12.9,.386,.386, 3.1,4.6,.683, ,,8.5,2.8, , ,,3.1, 13.1
Jack Coleman, ROC, PF,30,72, , 34.5,5.6,12.0, .462, ,,, 5.6, 12.0,.462,.462, 1.7,2.5,.678, ,,10.1,3.2, , ,,2.8, 12.8
Bert Cook, NYK, SG,25,37, , 11.5,1.1,3.6, .316, ,,, 1.1, 3.6,.316,.316, 0.9,1.4,.680, ,,1.9,0.9, , ,,1.1, 3.2
Chuck Cooper*, MLH, PF,28,70, , 25.0,2.8,8.1, .339, ,,, 2.8, 8.1,.339,.339, 2.7,3.6,.751, ,,5.5,2.2, , ,,3.0, 8.2
Larry Costello, PHW, PG,23,19, , 24.4,2.4,7.3, .331, ,,, 2.4, 7.3,.331,.331, 1.4,1.7,.813, ,,2.6,4.1, , ,,1.9, 6.2
Bob Cousy*, BOS, PG,26,71, , 38.7,7.4,18.5, .397, ,,, 7.4, 18.5,.397,.397, 6.5,8.0,.807, ,,6.0,7.8, , ,,2.3, 21.2
Bob Davies*, ROC, PG,35,72, , 26.0,4.5,10.9, .415, ,,, 4.5, 10.9,.415,.415, 3.1,4.1,.751, ,,2.8,4.9, , ,,3.1, 12.1
Walt Davis, PHW, C,24,61, , 12.6,1.1,3.0, .385, ,,, 1.1, 3.0,.385,.385, 0.6,0.8,.729, ,,3.4,0.6, , ,,1.6, 2.9
George Dempsey, PHW, SG,25,48, , 28.9,2.6,7.5, .353, ,,, 2.6, 7.5,.353,.353, 2.0,2.9,.695, ,,4.9,3.6, , ,,2.9, 7.3
Fred Diute, MLH, SG,26,7, , 10.3,0.3,3.0, .095, ,,, 0.3, 3.0,.095,.095, 1.0,1.7,.583, ,,1.9,0.6, , ,,1.7, 1.6
Dick Farley, SYR, SG,22,69, , 16.1,2.0,5.1, .385, ,,, 2.0, 5.1,.385,.385, 2.0,2.9,.677, ,,2.4,1.6, , ,,2.1, 5.9
Ray Felix, NYK, C,24,72, , 28.1,5.1,11.6, .438, ,,, 5.1, 11.6,.438,.438, 4.3,6.9,.622, ,,11.4,0.9, , ,,4.0, 14.4
Danny Finn, PHW, PG,26,43, , 19.1,1.8,6.2, .291, ,,, 1.8, 6.2,.291,.291, 1.2,2.0,.616, ,,3.7,3.6, , ,,2.7, 4.8
Larry Foust, FTW, C,26,70, , 32.3,5.7,11.7, .487, ,,, 5.7, 11.7,.487,.487, 5.6,7.3,.766, ,,10.0,1.7, , ,,3.8, 17.0
Jim Fritsche, FTW, PF,23,16, , 9.4,1.0,3.0, .333, ,,, 1.0, 3.0,.333,.333, 0.8,1.0,.813, ,,2.0,0.3, , ,,1.8, 2.8
Bill Gabor, SYR, SG,32,3, , 15.7,2.3,7.3, .318, ,,, 2.3, 7.3,.318,.318, 1.0,1.7,.600, ,,1.7,3.7, , ,,2.0, 5.7
Harry Gallatin*, NYK, PF,27,72, , 35.4,4.6,11.9, .384, ,,, 4.6, 11.9,.384,.384, 5.5,6.7,.814, ,,13.8,2.4, , ,,2.9, 14.6
Jack George, PHW, PG,26,68, , 36.5,4.3,11.1, .385, ,,, 4.3, 11.1,.385,.385, 2.8,4.3,.660, ,,4.4,5.3, , ,,2.8, 11.4
Joe Graboski, PHW, PF,25,70, , 35.9,5.3,15.7, .340, ,,, 5.3, 15.7,.340,.340, 3.0,4.3,.686, ,,9.1,2.6, , ,,3.7, 13.6
Chuck Grigsby, NYK, G,26,7, , 6.4,1.0,2.7, .368, ,,, 1.0, 2.7,.368,.368, 0.3,1.1,.250, ,,1.6,1.0, , ,,1.3, 2.3
Alex Hannum*, MLH, PF,31,53, , 20.5,2.4,6.8, .352, ,,, 2.4, 6.8,.352,.352, 1.2,2.0,.570, ,,4.6,2.0, , ,,3.9, 5.9
Rollen Hans, BLB, SG,23,13, , 13.7,2.3,5.2, .448, ,,, 2.3, 5.2,.448,.448, 1.0,1.9,.520, ,,1.2,2.0, , ,,1.5, 5.6
Bob Harrison, MLH, PG,27,72, , 31.9,4.2,12.2, .342, ,,, 4.2, 12.2,.342,.342, 1.8,2.6,.681, ,,3.1,3.5, , ,,4.0, 10.1
Herm Hedderick, NYK, G,25,5, , 4.6,0.4,1.8, .222, ,,, 0.4, 1.8,.222,.222, 0.0,0.2,.000, ,,0.8,0.4, , ,,0.6, 0.8
Don Henriksen, TOT, PF,25,70, , 23.8,2.0,5.8, .342, ,,, 2.0, 5.8,.342,.342, 2.0,2.8,.703, ,,6.9,1.6, , ,,2.7, 5.9
Don Henriksen, BLB, F-C,25,14, , 30.6,2.0,6.5, .308, ,,, 2.0, 6.5,.308,.308, 3.6,4.6,.785, ,,3.5,2.3, , ,,3.0, 7.6
Don Henriksen, ROC, PF,25,56, , 22.1,2.0,5.6, .352, ,,, 2.0, 5.6,.352,.352, 1.5,2.3,.662, ,,7.8,1.4, , ,,2.6, 5.5
Lew Hitch, TOT, F-C,25,74, , 24.0,2.3,5.6, .400, ,,, 2.3, 5.6,.400,.400, 1.6,2.3,.680, ,,5.9,1.7, , ,,1.5, 6.1
Lew Hitch, MLH, PF,25,, , ,,, , ,,, , ,,, ,,, ,,,, , ,,, 
Lew Hitch, MNL, PF,25,, , ,,, , ,,, , ,,, ,,, ,,,, , ,,, 
Paul Hoffman, TOT, G-F,29,38, , 17.6,1.7,5.7, .301, ,,, 1.7, 5.7,.301,.301, 1.7,2.4,.688, ,,3.3,2.5, , ,,2.4, 5.1
Paul Hoffman, BLB, G-F,29,, , ,,, , ,,, , ,,, ,,, ,,,, , ,,, 
Paul Hoffman, NYK, G-F,29,, , ,,, , ,,, , ,,, ,,, ,,,, , ,,, 
Paul Hoffman, PHW, SG,29,, , ,,, , ,,, , ,,, ,,, ,,,, , ,,, 
Jim Holstein, MNL, SF,24,62, , 15.8,1.7,5.3, .324, ,,, 1.7, 5.3,.324,.324, 1.1,1.5,.713, ,,3.3,0.9, , ,,1.7, 4.5
Bob Houbregs*, TOT, C-F,22,64, , 20.7,2.3,6.0, .383, ,,, 2.3, 6.0,.383,.383, 2.0,2.8,.709, ,,4.6,1.3, , ,,2.8, 6.6
Bob Houbregs*, BLB, C-F,22,, , ,,, , ,,, , ,,, ,,, ,,,, , ,,, 
Bob Houbregs*, BOS, C,22,, , ,,, , ,,, , ,,, ,,, ,,,, , ,,, 
Bob Houbregs*, FTW, C,22,, , ,,, , ,,, , ,,, ,,, ,,,, , ,,, 
Mel Hutchins, FTW, PF,26,72, , 39.7,4.7,12.5, .378, ,,, 4.7, 12.5,.378,.378, 2.5,3.6,.708, ,,9.2,3.4, , ,,3.2, 12.0
Neil Johnston*, PHW, C,25,72, , 40.5,7.2,16.4, .440, ,,, 7.2, 16.4,.440,.440, 8.2,10.7,.766, ,,15.1,3.0, , ,,3.5, 22.7
Ed Kalafat, MNL, PF,22,72, , 15.3,1.6,5.2, .315, ,,, 1.6, 5.2,.315,.315, 1.5,2.3,.661, ,,4.4,1.0, , ,,2.8, 4.8
Mike Kearns, PHW, PG,25,6, , 4.2,0.0,0.8, .000, ,,, 0.0, 0.8,.000,.000, 0.2,0.7,.250, ,,0.5,0.8, , ,,0.2, 0.2
Billy Kenville, SYR, SG,24,70, , 19.7,2.5,6.9, .357, ,,, 2.5, 6.9,.357,.357, 2.2,2.9,.766, ,,3.5,2.1, , ,,1.9, 7.1
Red Kerr, SYR, C,22,72, , 21.2,4.2,10.0, .419, ,,, 4.2, 10.0,.419,.419, 2.1,3.1,.682, ,,6.6,1.1, , ,,2.3, 10.5
Dan King, BLB, F,24,12, , 8.6,0.6,1.8, .318, ,,, 0.6, 1.8,.318,.318, 0.4,0.8,.500, ,,2.1,0.3, , ,,0.4, 1.6
George King, SYR, PG,26,67, , 30.1,3.4,9.0, .377, ,,, 3.4, 9.0,.377,.377, 2.1,3.4,.611, ,,3.4,4.9, , ,,2.2, 8.9
Bob Knight, NYK, G-F,25,2, , 14.5,1.5,3.5, .429, ,,, 1.5, 3.5,.429,.429, 0.5,0.5,1.000, ,,0.5,4.0, , ,,3.0, 3.5
Earl Lloyd*, SYR, SF,26,72, , 30.7,4.0,10.9, .365, ,,, 4.0, 10.9,.365,.365, 2.2,2.9,.750, ,,7.7,2.1, , ,,3.9, 10.2
Clyde Lovellette*, MNL, C,25,70, , 33.7,7.4,17.0, .435, ,,, 7.4, 17.0,.435,.435, 3.9,5.7,.686, ,,11.5,1.4, , ,,3.7, 18.7
Ed Macauley*, BOS, C,26,71, , 38.1,5.7,13.4, .424, ,,, 5.7, 13.4,.424,.424, 6.2,7.9,.792, ,,8.5,3.9, , ,,2.4, 17.6
Ronnie MacGilvray, MLH, PG,24,6, , 9.5,0.3,2.0, .167, ,,, 0.3, 2.0,.167,.167, 0.7,1.2,.571, ,,1.5,1.8, , ,,0.8, 1.3
