NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jay Arnette, CIN, PG,25,48, , 10.4,1.5,4.1, .362, ,,, 1.5, 4.1,.362,.362, 0.9,1.1,.778, ,,1.1,1.5, , ,,2.2, 3.8
Al Attles*, SFW, PG,27,70, , 26.9,4.1,9.1, .452, ,,, 4.1, 9.1,.452,.452, 2.6,3.9,.673, ,,3.4,2.8, , ,,3.6, 10.9
Dick Barnett, LAL, SG,27,78, , 33.6,6.9,15.3, .452, ,,, 6.9, 15.3,.452,.452, 4.5,5.8,.773, ,,3.2,3.1, , ,,3.0, 18.4
John Barnhill, STL, SG,25,74, , 18.5,2.8,6.8, .412, ,,, 2.8, 6.8,.412,.412, 0.9,1.6,.609, ,,2.1,2.0, , ,,1.4, 6.6
Elgin Baylor*, LAL, SF,29,78, , 40.6,9.7,22.8, .425, ,,, 9.7, 22.8,.425,.425, 6.0,7.5,.804, ,,12.0,4.4, , ,,3.0, 25.4
Zelmo Beaty*, STL, C,24,59, , 32.6,4.9,11.0, .444, ,,, 4.9, 11.0,.444,.444, 3.4,4.6,.741, ,,10.7,1.3, , ,,4.4, 13.1
Walt Bellamy*, BAL, C,24,80, , 42.4,10.1,19.8, .513, ,,, 10.1, 19.8,.513,.513, 6.7,10.3,.651, ,,17.0,1.6, , ,,3.8, 27.0
Al Bianchi, PHI, PG,31,78, , 18.4,3.3,8.8, .376, ,,, 3.3, 8.8,.376,.376, 1.4,1.8,.773, ,,1.9,1.9, , ,,3.2, 8.0
Bucky Bockhorn, CIN, SG,30,70, , 23.9,3.5,8.4, .412, ,,, 3.5, 8.4,.412,.412, 1.4,1.8,.762, ,,2.9,2.5, , ,,3.2, 8.3
Bob Boozer, TOT, SF,26,81, , 29.4,5.8,13.5, .427, ,,, 5.8, 13.5,.427,.427, 3.4,4.6,.723, ,,7.4,1.2, , ,,2.9, 14.9
Bob Boozer, CIN, SF,26,32, , 22.7,4.3,10.4, .416, ,,, 4.3, 10.4,.416,.416, 2.3,3.7,.622, ,,5.6,1.0, , ,,2.6, 11.0
Bob Boozer, NYK, SF,26,49, , 33.7,6.7,15.6, .432, ,,, 6.7, 15.6,.432,.432, 4.0,5.2,.770, ,,8.5,1.3, , ,,3.0, 17.5
Bill Bridges, STL, PF,24,80, , 24.4,3.4,8.4, .397, ,,, 3.4, 8.4,.397,.397, 1.8,2.8,.652, ,,8.5,2.3, , ,,3.4, 8.5
Dave Budd, NYK, SF,25,73, , 14.1,1.8,4.1, .431, ,,, 1.8, 4.1,.431,.431, 1.2,1.6,.730, ,,3.8,0.8, , ,,1.8, 4.7
Donnie Butcher, TOT, PG,27,78, , 25.3,2.6,6.5, .398, ,,, 2.6, 6.5,.398,.398, 2.0,3.3,.621, ,,4.2,3.1, , ,,3.2, 7.2
Donnie Butcher, NYK, G,27,26, , 16.1,1.4,4.4, .322, ,,, 1.4, 4.4,.322,.322, 1.6,2.5,.636, ,,2.6,2.5, , ,,2.0, 4.5
Donnie Butcher, DET, PG,27,52, , 29.9,3.2,7.5, .421, ,,, 3.2, 7.5,.421,.421, 2.3,3.7,.616, ,,5.0,3.4, , ,,3.8, 8.6
Al Butler, NYK, PG,25,76, , 18.1,3.4,8.1, .422, ,,, 3.4, 8.1,.422,.422, 1.8,2.5,.738, ,,2.2,2.1, , ,,2.2, 8.7
Barney Cable, BAL, SF,28,71, , 15.8,1.6,4.1, .400, ,,, 1.6, 4.1,.400,.400, 0.4,0.6,.667, ,,4.2,0.7, , ,,2.3, 3.7
Wilt Chamberlain*, SFW, C,27,80, , 46.1,15.1,28.7, .524, ,,, 15.1, 28.7,.524,.524, 6.8,12.7,.531, ,,22.3,5.0, , ,,2.3, 36.9
Len Chappell, TOT, PF,23,79, , 31.7,6.7,15.0, .448, ,,, 6.7, 15.0,.448,.448, 3.6,5.1,.715, ,,9.8,1.1, , ,,2.7, 17.1
Len Chappell, PHI, F-C,23,1, , 16.0,0.0,2.0, .000, ,,, 0.0, 2.0,.000,.000, 1.0,2.0,.500, ,,4.0,0.0, , ,,2.0, 1.0
Len Chappell, NYK, PF,23,78, , 31.9,6.8,15.2, .449, ,,, 6.8, 15.2,.449,.449, 3.7,5.1,.716, ,,9.8,1.1, , ,,2.7, 17.3
Larry Comley, BAL, G,24,12, , 7.4,0.7,3.1, .216, ,,, 0.7, 3.1,.216,.216, 0.8,1.3,.563, ,,1.6,1.0, , ,,0.9, 2.1
Gene Conley, NYK, PF,33,46, , 12.0,1.6,4.1, .392, ,,, 1.6, 4.1,.392,.392, 1.0,1.4,.677, ,,3.4,0.5, , ,,2.7, 4.2
Larry Costello, PHI, PG,32,45, , 25.3,4.2,9.1, .468, ,,, 4.2, 9.1,.468,.468, 3.3,3.8,.865, ,,2.3,3.7, , ,,3.3, 11.8
Dave DeBusschere*, DET, SF,23,15, , 20.3,3.5,8.9, .391, ,,, 3.5, 8.9,.391,.391, 1.7,2.9,.581, ,,7.0,1.5, , ,,2.1, 8.6
Connie Dierking, PHI, C,27,76, , 16.9,2.5,6.8, .372, ,,, 2.5, 6.8,.372,.372, 1.5,2.2,.675, ,,5.6,0.7, , ,,2.9, 6.5
Terry Dischinger, BAL, SF,23,80, , 35.2,7.6,15.2, .496, ,,, 7.6, 15.2,.496,.496, 5.7,7.3,.776, ,,8.3,2.0, , ,,4.0, 20.8
Bob Duffy, TOT, PG,23,48, , 13.8,2.0,4.8, .410, ,,, 2.0, 4.8,.410,.410, 0.9,1.4,.677, ,,1.3,1.6, , ,,1.0, 4.8
Bob Duffy, STL, PG,23,2, , 3.0,0.5,1.5, .333, ,,, 0.5, 1.5,.333,.333, 0.0,0.5,.000, ,,0.5,0.0, , ,,0.0, 1.0
Bob Duffy, NYK, PG,23,4, , 12.5,1.3,4.8, .263, ,,, 1.3, 4.8,.263,.263, 1.5,2.0,.750, ,,1.5,1.3, , ,,0.0, 4.0
Bob Duffy, DET, PG,23,42, , 14.4,2.1,4.9, .425, ,,, 2.1, 4.9,.425,.425, 0.9,1.3,.679, ,,1.3,1.8, , ,,1.1, 5.1
Johnny Egan, TOT, PG,25,66, , 35.2,5.1,11.5, .441, ,,, 5.1, 11.5,.441,.441, 2.9,3.7,.794, ,,2.9,5.4, , ,,2.7, 13.0
Johnny Egan, DET, PG,25,24, , 34.9,4.4,10.7, .410, ,,, 4.4, 10.7,.410,.410, 2.4,2.8,.838, ,,2.6,4.8, , ,,3.2, 11.1
