NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Curly Armstrong, FTW, G-F,31,63, , ,2.3,8.2, .279, ,,, 2.3, 8.2,.279,.279, 2.7,3.8,.705, ,,,2.8, , ,,3.4, 7.3
Cliff Barker, INO, SG,29,49, , ,2.1,5.6, .372, ,,, 2.1, 5.6,.372,.372, 1.5,2.2,.708, ,,,2.2, , ,,2.0, 5.7
Leo Barnhorst, CHS, SF,25,67, , ,2.6,7.4, .349, ,,, 2.6, 7.4,.349,.349, 1.3,1.9,.698, ,,,2.1, , ,,2.9, 6.5
Ed Bartels, TOT, F,24,15, , ,1.5,5.7, .256, ,,, 1.5, 5.7,.256,.256, 1.3,2.3,.559, ,,,1.3, , ,,1.9, 4.2
Ed Bartels, DNN, F,24,13, , ,1.6,6.3, .256, ,,, 1.6, 6.3,.256,.256, 1.3,2.4,.548, ,,,1.5, , ,,2.1, 4.5
Ed Bartels, NYK, F,24,2, , ,0.5,2.0, .250, ,,, 0.5, 2.0,.250,.250, 1.0,1.5,.667, ,,,0.0, , ,,1.0, 2.0
Ralph Beard, INO, G,22,60, , ,5.7,15.6, .363, ,,, 5.7, 15.6,.363,.363, 3.6,4.7,.762, ,,,3.9, , ,,2.2, 14.9
Gene Berce, TRI, G-F,23,3, , ,1.7,5.3, .313, ,,, 1.7, 5.3,.313,.313, 0.0,1.7,.000, ,,,0.7, , ,,2.0, 3.3
Charlie Black, TOT, F-C,28,65, , ,3.5,12.5, .278, ,,, 3.5, 12.5,.278,.278, 3.2,4.9,.651, ,,,2.5, , ,,4.2, 10.2
Charlie Black, FTW, F-C,28,36, , ,3.5,12.1, .287, ,,, 3.5, 12.1,.287,.287, 3.7,5.8,.632, ,,,2.1, , ,,3.9, 10.6
Charlie Black, AND, F-C,28,29, , ,3.5,13.0, .267, ,,, 3.5, 13.0,.267,.267, 2.7,3.9,.688, ,,,3.0, , ,,4.6, 9.6
Nelson Bobb, PHW, PG,25,57, , ,1.4,4.4, .323, ,,, 1.4, 4.4,.323,.323, 1.4,2.3,.626, ,,,0.8, , ,,1.7, 4.2
Jake Bornheimer, PHW, F-C,22,60, , ,1.5,5.1, .289, ,,, 1.5, 5.1,.289,.289, 1.3,2.0,.667, ,,,0.7, , ,,1.9, 4.2
Vince Boryla, NYK, SF,22,59, , ,3.5,10.2, .340, ,,, 3.5, 10.2,.340,.340, 3.5,4.5,.764, ,,,1.6, , ,,3.4, 10.4
Don Boven, WAT, F-G,24,62, , ,3.4,9.0, .373, ,,, 3.4, 9.0,.373,.373, 3.9,5.6,.688, ,,,2.2, , ,,4.1, 10.6
Harry Boykoff, WAT, C,27,61, , ,4.7,11.4, .413, ,,, 4.7, 11.4,.413,.413, 3.3,4.3,.775, ,,,2.4, , ,,3.8, 12.8
Joe Bradley, CHS, G,21,46, , ,0.8,2.9, .269, ,,, 0.8, 2.9,.269,.269, 0.3,0.8,.395, ,,,0.8, , ,,1.1, 1.9
Bob Brannum, SHE, PF,23,59, , ,4.0,12.2, .326, ,,, 4.0, 12.2,.326,.326, 4.2,6.0,.690, ,,,3.5, , ,,4.7, 12.1
Carl Braun*, NYK, G-F,22,67, , ,5.6,15.3, .364, ,,, 5.6, 15.3,.364,.364, 4.3,5.6,.762, ,,,3.7, , ,,2.8, 15.4
Frankie Brian, AND, G,26,64, , ,5.8,18.1, .318, ,,, 5.8, 18.1,.318,.318, 6.3,7.6,.824, ,,,3.0, , ,,3.0, 17.8
Price Brookfield, ROC, F-G,29,7, , ,1.6,3.3, .478, ,,, 1.6, 3.3,.478,.478, 1.7,1.9,.923, ,,,0.1, , ,,1.0, 4.9
Bob Brown, DNN, F,26,62, , ,4.5,12.3, .361, ,,, 4.5, 12.3,.361,.361, 2.8,4.1,.683, ,,,1.6, , ,,4.3, 11.7
Jim Browne, DNN, C,20,31, , ,0.5,1.5, .354, ,,, 0.5, 1.5,.354,.354, 0.4,0.9,.481, ,,,0.3, , ,,0.5, 1.5
Walt Budko, BLB, PF,24,66, , ,3.0,9.9, .304, ,,, 3.0, 9.9,.304,.304, 3.0,4.0,.757, ,,,2.2, , ,,3.9, 9.0
Jack Burmaster, SHE, G,23,61, , ,3.9,11.7, .333, ,,, 3.9, 11.7,.333,.333, 2.0,3.0,.681, ,,,2.9, , ,,3.9, 9.8
