NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Zaid Abdul-Aziz, HOU, C,26,48, , 18.8,3.1,7.8, .397, ,,, 3.1, 7.8,.397,.397, 2.5,3.4,.735, ,,6.3,1.1, , ,,2.3, 8.7
Kareem Abdul-Jabbar*, MIL, C,25,76, , 42.8,12.9,23.3, .554, ,,, 12.9, 23.3,.554,.554, 4.3,6.1,.713, ,,16.1,5.0, , ,,2.7, 30.2
Don Adams, TOT, SF,25,74, , 25.3,3.6,9.2, .391, ,,, 3.6, 9.2,.391,.391, 2.0,2.5,.788, ,,6.0,1.6, , ,,3.1, 9.1
Don Adams, ATL, SF,25,4, , 19.0,2.0,9.5, .211, ,,, 2.0, 9.5,.211,.211, 1.8,2.0,.875, ,,5.5,1.3, , ,,2.8, 5.8
Don Adams, DET, SF,25,70, , 25.7,3.7,9.1, .402, ,,, 3.7, 9.1,.402,.402, 2.0,2.5,.784, ,,6.0,1.6, , ,,3.1, 9.3
Rick Adelman, POR, PG,26,76, , 24.0,2.8,6.9, .408, ,,, 2.8, 6.9,.408,.408, 1.0,1.3,.716, ,,2.1,3.9, , ,,2.0, 6.6
Lucius Allen, MIL, PG,25,80, , 33.7,6.8,14.1, .484, ,,, 6.8, 14.1,.484,.484, 1.8,2.5,.715, ,,3.5,5.3, , ,,2.4, 15.5
Tiny Archibald*, KCO, PG,24,80, , 46.0,12.9,26.3, .488, ,,, 12.9, 26.3,.488,.488, 8.3,9.8,.847, ,,2.8,11.4, , ,,2.6, 34.0
Dennis Awtrey, TOT, C,24,82, , 20.6,1.8,3.7, .479, ,,, 1.8, 3.7,.479,.479, 1.0,1.9,.562, ,,5.5,2.7, , ,,2.9, 4.6
Dennis Awtrey, PHI, C,24,3, , 12.3,1.0,2.3, .429, ,,, 1.0, 2.3,.429,.429, 0.3,1.3,.250, ,,4.7,0.7, , ,,2.7, 2.3
Dennis Awtrey, CHI, C,24,79, , 20.9,1.8,3.8, .480, ,,, 1.8, 3.8,.480,.480, 1.1,1.9,.570, ,,5.5,2.8, , ,,2.9, 4.7
Dick Barnett, NYK, SG,36,51, , 10.1,1.7,4.4, .389, ,,, 1.7, 4.4,.389,.389, 0.3,0.6,.533, ,,0.8,1.0, , ,,1.0, 3.8
Jim Barnett, GSW, PG,28,82, , 27.0,4.8,10.3, .467, ,,, 4.8, 10.3,.467,.467, 2.2,2.6,.843, ,,3.1,3.7, , ,,1.8, 11.8
Rick Barry*, GSW, SF,28,82, , 37.5,9.0,19.9, .452, ,,, 9.0, 19.9,.452,.452, 4.4,4.8,.902, ,,8.9,4.9, , ,,3.0, 22.3
Butch Beard, SEA, PG,25,73, , 19.2,2.6,6.0, .439, ,,, 2.6, 6.0,.439,.439, 1.4,1.9,.714, ,,2.4,3.4, , ,,1.9, 6.6
Walt Bellamy*, ATL, C,33,74, , 37.9,6.1,12.2, .505, ,,, 6.1, 12.2,.505,.505, 3.8,7.1,.538, ,,13.0,2.4, , ,,3.3, 16.1
Henry Bibby, NYK, PG,23,55, , 8.6,1.4,3.7, .380, ,,, 1.4, 3.7,.380,.380, 1.3,1.6,.849, ,,1.5,1.2, , ,,1.2, 4.2
Dave Bing*, DET, PG,29,82, , 41.0,8.4,18.8, .448, ,,, 8.4, 18.8,.448,.448, 5.6,6.8,.814, ,,3.6,7.8, , ,,2.8, 22.4
John Block, TOT, PF,28,73, , 28.0,5.4,12.1, .441, ,,, 5.4, 12.1,.441,.441, 4.1,5.2,.794, ,,7.7,1.5, , ,,3.3, 14.8
John Block, PHI, PF,28,48, , 32.5,6.5,14.7, .441, ,,, 6.5, 14.7,.441,.441, 4.9,6.3,.781, ,,9.2,2.0, , ,,3.6, 17.9
