NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Forest Able, SYR, G,24,1, , 1.0,0.0,2.0, .000, ,,, 0.0, 2.0,.000,.000, 0.0,0.0,, ,,1.0,1.0, , ,,1.0, 0.0
Paul Arizin*, PHW, SF,28,71, , 39.0,8.6,20.4, .422, ,,, 8.6, 20.4,.422,.422, 8.3,10.0,.829, ,,7.9,2.1, , ,,3.9, 25.6
Bob Armstrong, PHW, C-F,23,19, , 5.8,0.6,1.9, .297, ,,, 0.6, 1.9,.297,.297, 0.3,0.6,.500, ,,2.1,0.2, , ,,0.7, 1.5
Jim Baechtold, NYK, SF,29,45, , 10.3,1.7,4.4, .381, ,,, 1.7, 4.4,.381,.381, 1.5,2.0,.750, ,,1.8,0.7, , ,,0.9, 4.8
John Barber, STL, F,29,5, , 3.8,0.4,1.6, .250, ,,, 0.4, 1.6,.250,.250, 0.6,1.2,.500, ,,1.2,0.0, , ,,0.8, 1.4
Ernie Beck, PHW, SG,25,72, , 24.2,2.7,7.1, .384, ,,, 2.7, 7.1,.384,.384, 1.5,2.2,.707, ,,4.3,2.6, , ,,2.2, 7.0
Irv Bemoras, STL, SF,26,62, , 15.9,2.0,6.2, .322, ,,, 2.0, 6.2,.322,.322, 1.1,1.7,.680, ,,2.0,0.7, , ,,1.2, 5.1
Gary Bergen, NYK, C,24,6, , 6.7,0.5,1.8, .273, ,,, 0.5, 1.8,.273,.273, 0.3,0.3,1.000, ,,1.3,0.2, , ,,0.7, 1.3
Al Bianchi, SYR, PG,24,68, , 23.2,2.9,8.3, .351, ,,, 2.9, 8.3,.351,.351, 2.4,3.5,.690, ,,3.3,1.6, , ,,2.9, 8.3
Carl Braun*, NYK, PG,29,72, , 32.6,5.3,13.8, .381, ,,, 5.3, 13.8,.381,.381, 3.4,4.2,.809, ,,3.6,3.6, , ,,2.7, 13.9
Bob Burrow, ROC, C,22,67, , 15.3,2.0,5.5, .374, ,,, 2.0, 5.5,.374,.374, 1.9,3.1,.616, ,,4.4,0.6, , ,,2.5, 6.0
Nat Clifton*, NYK, PF,34,71, , 31.4,4.3,11.5, .377, ,,, 4.3, 11.5,.377,.377, 2.1,3.1,.673, ,,7.8,2.3, , ,,3.4, 10.7
Jack Coleman, STL, PF,32,72, , 29.8,4.4,10.8, .408, ,,, 4.4, 10.8,.408,.408, 1.7,2.2,.764, ,,9.0,2.2, , ,,3.3, 10.5
Ed Conlin, SYR, SG,23,71, , 31.7,4.7,12.6, .374, ,,, 4.7, 12.6,.374,.374, 4.0,5.2,.769, ,,6.1,2.9, , ,,2.4, 13.4
Larry Costello, PHW, PG,25,72, , 29.3,2.6,6.9, .374, ,,, 2.6, 6.9,.374,.374, 2.4,3.1,.788, ,,4.5,3.3, , ,,2.5, 7.6
Bob Cousy*, BOS, PG,28,64, , 36.9,7.5,19.8, .378, ,,, 7.5, 19.8,.378,.378, 5.7,6.9,.821, ,,4.8,7.5, , ,,2.1, 20.6
