NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Gary Alcorn, LAL, C,24,20, , 8.7,0.6,2.0, .300, ,,, 0.6, 2.0,.300,.300, 0.4,0.4,.875, ,,2.5,0.1, , ,,2.4, 1.6
Paul Arizin*, PHW, SF,32,79, , 37.2,8.2,19.4, .425, ,,, 8.2, 19.4,.425,.425, 6.7,8.1,.833, ,,8.6,2.4, , ,,4.2, 23.2
Al Attles*, PHW, PG,24,77, , 20.1,2.9,7.1, .409, ,,, 2.9, 7.1,.409,.409, 1.3,2.1,.599, ,,2.8,2.3, , ,,3.1, 7.0
Dick Barnett, SYR, SG,24,78, , 26.5,6.9,15.3, .452, ,,, 6.9, 15.3,.452,.452, 3.1,4.3,.712, ,,3.6,2.8, , ,,2.2, 16.9
Elgin Baylor*, LAL, SF,26,73, , 42.9,12.8,29.7, .430, ,,, 12.8, 29.7,.430,.430, 9.3,11.8,.783, ,,19.8,5.1, , ,,3.8, 34.8
Ernie Beck, TOT, SG,29,10, , 8.2,1.0,2.9, .345, ,,, 1.0, 2.9,.345,.345, 0.6,0.7,.857, ,,2.3,1.5, , ,,1.0, 2.6
Ernie Beck, STL, SG,29,7, , 8.9,1.0,3.0, .333, ,,, 1.0, 3.0,.333,.333, 0.7,0.7,1.000, ,,1.7,1.9, , ,,0.9, 2.7
Ernie Beck, SYR, SG,29,3, , 6.7,1.0,2.7, .375, ,,, 1.0, 2.7,.375,.375, 0.3,0.7,.500, ,,3.7,0.7, , ,,1.3, 2.3
Whitey Bell, NYK, PG,28,5, , 9.0,1.4,3.6, .389, ,,, 1.4, 3.6,.389,.389, 0.2,0.6,.333, ,,1.4,0.2, , ,,1.4, 3.0
Al Bianchi, SYR, PG,28,52, , 12.8,2.3,6.6, .345, ,,, 2.3, 6.6,.345,.345, 1.2,1.7,.690, ,,2.0,1.8, , ,,2.6, 5.7
Bucky Bockhorn, CIN, SG,27,79, , 33.8,5.3,13.4, .397, ,,, 5.3, 13.4,.397,.397, 1.9,2.6,.731, ,,5.5,4.3, , ,,3.6, 12.6
Bob Boozer, CIN, PF,23,79, , 19.9,3.2,7.6, .415, ,,, 3.2, 7.6,.415,.415, 2.1,3.1,.672, ,,6.2,1.4, , ,,2.4, 8.4
Carl Braun*, NYK, PG,33,15, , 14.5,2.5,5.3, .468, ,,, 2.5, 5.3,.468,.468, 0.7,0.9,.786, ,,2.1,3.2, , ,,1.9, 5.7
Dave Budd, NYK, SF,22,61, , 17.6,2.6,5.9, .432, ,,, 2.6, 5.9,.432,.432, 1.4,2.2,.649, ,,4.9,0.7, , ,,2.8, 6.5
Barney Cable, SYR, SF,25,75, , 21.9,3.5,7.7, .463, ,,, 3.5, 7.7,.463,.463, 1.0,1.4,.676, ,,6.3,1.1, , ,,3.3, 8.1
Wilt Chamberlain*, PHW, C,24,79, , 47.8,15.8,31.1, .509, ,,, 15.8, 31.1,.509,.509, 6.7,13.3,.504, ,,27.2,1.9, , ,,1.6, 38.4
